Page Number,Text
1,"Introduction to Blockchain - Day III + Day IV
8.01.2025/ 13.01.2025"
2,"Problem
In ScroogeCoin, suppose Mallory has banking id of Alice and she
can login using that banking id provided she gets hold of the
password of Alice. Consider that password of Alice is an 8 digit
number, each digit can be between 0 to 9. She tries generating the
password until it matches the password of Alice. How long will it
take before she succeeds, on average? What will happen if she can
crack the password?"
3,"Challenges of DCP in Bitcoin
There are number of technical problems with the approach
Consensus in general is a hard problem since nodes might
crash or be outright malicious
In the Bitcoin context, P2P network is highly imperfect.
Not all pairs of nodes are connected to each other.
There could be faults in the network because of poor Internet
connectivity
A lot of latency in the system because it’s distributed all over
the Internet."
4,"How do nodes in P2P Network receive transaction?
Either they put their own transaction or receive from some other
source."
5,"Ordering I
Blockchain transactions (or blocks containing them) must be
ordered, unambiguously, and without the need for a trusted
third party.
But if transactions are generated by anonymous participants
all over the world, and no central party is responsible for
organizing the list, how can it be done?
For example transactions (or blocks) could include
timestamps, but how could these timestamps be trusted?"
6,"Ordering II
Relying on a timestamp to determine event order is not
possible in a decentralized, geographically dispersed system.
What we need is a mechanism by which we can verify that
one event took place before another or perhaps concurrently."
7,"Transactions, UTXO, mempool I
A transaction, in simple terms, is the transfer of value from one
person to another.
For example, when I have a physical bill of money and hand it to
another person, I am carrying out a financial transaction. Similarly,
in the banking system, when I transfer funds from my bank
account to another, I am executing a transaction."
8,"Transactions, UTXO, mempool II
When someone sends Bitcoin from one address to another,
they are not simply transferring a “balance” but rather
spending one or more outputs from previous transactions.
If Kak´a sends 1 BTC to Carol, she may be spending an
outflow from a previous transaction she received from
Fernanda. This transaction output, previously received from
Fernanda, will now be used as input in the new transaction
sent by Kak´a to Carol."
9,"Transactions, UTXO, mempool III
Transaction creation: The sender specifies the recipient’s address
and the amount of Bitcoin they want to send. The transaction will
include one or more “inputs” and one or more ”outputs”
The inputs are references to previous UTXOs (Unspent
Transaction Outputs), that is, outputs from previous transactions
that have not yet been spent. So, basically, these are the
“currencies” that the sender is using to fund the transaction."
10,"Transactions, UTXO, mempool IV"
11,"Transactions, UTXO, mempool V
UTXO Set: All transaction outputs that have not yet been
spent—constitute what is known as the UTXO set. A UTXO can
only be utilized once. This is vital for the proper functioning of the
blockchain system, as it ensures that the same digital currency is
not spent more than once, thereby avoiding the issue of double
spending.
Nodes, or validating participants in the Bitcoin network, maintain
and constantly update this set. They do this to keep a clear record
of which Bitcoin funds are available to be spent and, crucially, who
has the authority to spend them."
12,"Transactions, UTXO, mempool VI
To check if a transaction can enter the mempool even if the
UTXO set doesn’t contain an entry for its input, you need to
verify the transaction’s inputs against the blockchain explorer to
ensure they are unspent outputs (UTXOs) that are currently in the
unconfirmed transaction pool (mempool); if they are, then the
transaction can be broadcast and should enter the mempool
despite not appearing in your local UTXO set, as long as the
transaction is valid and has a sufficient fee."
13,"Transactions, UTXO, mempool VII
Prevent Double Spending: With the UTXO set, Bitcoin has
found an effective way to combat double spending. This happens
because whenever a transaction is made, nodes check the pool to
ensure that the UTXOs being used as inputs for the transaction
have not yet been spent. Thus, if a UTXO has already been used,
the transaction will be considered invalid and rejected by the
network."
14,"Transactions, UTXO, mempool VIII
Mempool: The mempool is a collection of unconfirmed
transactions waiting to be included in a block. Transactions are
broadcast to the network and stored in each node’s mempool. A
block proposer select transactions from the mempool to include in
their candidate blocks based on fee and other criteria"
15,"Transactions, UTXO, mempool IX
To check if a transaction is eligible to enter the mempool
using the UTXO set, you need to verify that all the input
UTXOs referenced in the transaction are currently unspent and
that the transaction adheres to the network rules regarding fees
and transaction size, essentially confirming that the transaction is
valid and can be added to the pending pool for potential inclusion
in a block."
16,"Transactions, UTXO, mempool X
In a mempool , if there are two transactions having input that refer
to same output, then reject the transaction that arrived later.
Technically, every node checks this condition before adding the
transaction in mempool. This prevents Double Spending."
17,"Transactions, UTXO, mempool XI
Do you update UTXO set when transaction enter mempool?
No, when a transaction enters the mempool, you do not update
the UTXO set; the UTXO set is only updated once the transaction
is confirmed and included in a block on the blockchain, at which
point the spent UTXOs are removed and new ones created based
on the transaction outputs."
18,"Transactions, UTXO, mempool XII
A mempool is updated whenever a new transaction is added to it
by a node/participant on the network, and then subsequently
updated when a transaction is removed from the mempool by being
included in a block mined by a miner; essentially, the mempool is
constantly updating as new transactions arrive and existing ones
are confirmed and removed to be added to the blockchain"
19,"DCP in Bitcoin
Assumptions in the traditional model for consensus that
Bitcoin violates"
20,"DCP in Bitcoin
Assumptions in the traditional model for consensus that
Bitcoin violates
Introduces the idea of incentive"
21,"DCP in Bitcoin
Assumptions in the traditional model for consensus that
Bitcoin violates
Introduces the idea of incentive
Bitcoin embraces the notion of randomness"
22,"DCP in Bitcoin
Assumptions in the traditional model for consensus that
Bitcoin violates
Introduces the idea of incentive
Bitcoin embraces the notion of randomness
It’s consensus algorithm does away with specific starting point
and ending point for consensus
Consensus happens for a longer period of time
At the end of the period, node can’t be certain that any
particular transaction has made into the ledger
As time goes on, the probability that your view of any block
matches with the consensus view increases."
23,"Consensus without Identity
Bitcoin nodes do not have persistent, long-term identities due
to P2P network – difference from traditional DCP.
No central authority to assign identities to participants and
verify that they’re not creating new nodes at will.
Pseudonymity is inherently a goal of Bitcoin.
Lack of identity introduces Sybil attack"
24,"What is Sybil?
Sybil is a 1973 book by Flora Rheta Schreiber about the treatment
of Sybil Dorsett (a pseudonym for Shirley Ardell Mason) for
dissociative identity disorder (then referred to as multiple
personality disorder) by her psychoanalyst, Cornelia B. Wilbur.
Mason is given the pseudonym “Sybil” by her therapist to protect
her privacy. Sybil manifests sixteen personalities."
25,Sybil Attack
26,"Consensus Protocol with Identity
Each node has a separate identity
Identities would allow us to put in the protocol instructions of
the form,
”Now the node with the lowest numerical ID should take
some step”
Without identities, the set of possible instructions is more
constrained.
A much more serious reason for nodes to have identities is for
security
For both of these reasons, the lack of identities introduce
difficulties for the consensus protocol in Bitcoin."
